url,file_name,segment_number,bit_rate,file_size
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s0.m4s,BigBuckBunny_10s0.m4s,0,bunny_987061bps,20
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s1.m4s,BigBuckBunny_10s1.m4s,1,bunny_987061bps,1334579
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s2.m4s,BigBuckBunny_10s2.m4s,2,bunny_987061bps,1299710
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s3.m4s,BigBuckBunny_10s3.m4s,3,bunny_987061bps,1195301
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s4.m4s,BigBuckBunny_10s4.m4s,4,bunny_987061bps,1416255
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s5.m4s,BigBuckBunny_10s5.m4s,5,bunny_987061bps,1416427
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s6.m4s,BigBuckBunny_10s6.m4s,6,bunny_987061bps,1172252
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s7.m4s,BigBuckBunny_10s7.m4s,7,bunny_987061bps,1230795
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s8.m4s,BigBuckBunny_10s8.m4s,8,bunny_987061bps,1213612
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s9.m4s,BigBuckBunny_10s9.m4s,9,bunny_987061bps,932234
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s10.m4s,BigBuckBunny_10s10.m4s,10,bunny_987061bps,790223
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s11.m4s,BigBuckBunny_10s11.m4s,11,bunny_987061bps,1106350
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s12.m4s,BigBuckBunny_10s12.m4s,12,bunny_987061bps,1295663
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s13.m4s,BigBuckBunny_10s13.m4s,13,bunny_987061bps,1346061
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s14.m4s,BigBuckBunny_10s14.m4s,14,bunny_987061bps,1466404
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s15.m4s,BigBuckBunny_10s15.m4s,15,bunny_987061bps,1292997
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s16.m4s,BigBuckBunny_10s16.m4s,16,bunny_987061bps,1186195
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s17.m4s,BigBuckBunny_10s17.m4s,17,bunny_987061bps,1246578
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s18.m4s,BigBuckBunny_10s18.m4s,18,bunny_987061bps,1011814
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s19.m4s,BigBuckBunny_10s19.m4s,19,bunny_987061bps,1353768
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s20.m4s,BigBuckBunny_10s20.m4s,20,bunny_987061bps,1070377
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s21.m4s,BigBuckBunny_10s21.m4s,21,bunny_987061bps,1120598
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s22.m4s,BigBuckBunny_10s22.m4s,22,bunny_987061bps,1360399
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s23.m4s,BigBuckBunny_10s23.m4s,23,bunny_987061bps,1054685
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s24.m4s,BigBuckBunny_10s24.m4s,24,bunny_987061bps,1036674
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s25.m4s,BigBuckBunny_10s25.m4s,25,bunny_987061bps,1344733
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s26.m4s,BigBuckBunny_10s26.m4s,26,bunny_987061bps,1195963
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s27.m4s,BigBuckBunny_10s27.m4s,27,bunny_987061bps,1224666
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s28.m4s,BigBuckBunny_10s28.m4s,28,bunny_987061bps,1387002
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s29.m4s,BigBuckBunny_10s29.m4s,29,bunny_987061bps,1208640
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s30.m4s,BigBuckBunny_10s30.m4s,30,bunny_987061bps,1244408
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s31.m4s,BigBuckBunny_10s31.m4s,31,bunny_987061bps,1282626
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s32.m4s,BigBuckBunny_10s32.m4s,32,bunny_987061bps,1359223
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s33.m4s,BigBuckBunny_10s33.m4s,33,bunny_987061bps,1287871
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s34.m4s,BigBuckBunny_10s34.m4s,34,bunny_987061bps,1188164
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s35.m4s,BigBuckBunny_10s35.m4s,35,bunny_987061bps,1358373
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s36.m4s,BigBuckBunny_10s36.m4s,36,bunny_987061bps,1414154
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s37.m4s,BigBuckBunny_10s37.m4s,37,bunny_987061bps,1389482
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s38.m4s,BigBuckBunny_10s38.m4s,38,bunny_987061bps,1180288
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s39.m4s,BigBuckBunny_10s39.m4s,39,bunny_987061bps,808902
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s40.m4s,BigBuckBunny_10s40.m4s,40,bunny_987061bps,1054726
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s41.m4s,BigBuckBunny_10s41.m4s,41,bunny_987061bps,1092274
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s42.m4s,BigBuckBunny_10s42.m4s,42,bunny_987061bps,1382879
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s43.m4s,BigBuckBunny_10s43.m4s,43,bunny_987061bps,1377870
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s44.m4s,BigBuckBunny_10s44.m4s,44,bunny_987061bps,1369275
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s45.m4s,BigBuckBunny_10s45.m4s,45,bunny_987061bps,1100061
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s46.m4s,BigBuckBunny_10s46.m4s,46,bunny_987061bps,1111426
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s47.m4s,BigBuckBunny_10s47.m4s,47,bunny_987061bps,1244893
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s48.m4s,BigBuckBunny_10s48.m4s,48,bunny_987061bps,1184636
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s49.m4s,BigBuckBunny_10s49.m4s,49,bunny_987061bps,926384
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s50.m4s,BigBuckBunny_10s50.m4s,50,bunny_987061bps,1242619
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s51.m4s,BigBuckBunny_10s51.m4s,51,bunny_987061bps,1432411
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s52.m4s,BigBuckBunny_10s52.m4s,52,bunny_987061bps,1415822
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s53.m4s,BigBuckBunny_10s53.m4s,53,bunny_987061bps,1406735
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s54.m4s,BigBuckBunny_10s54.m4s,54,bunny_987061bps,1384158
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s55.m4s,BigBuckBunny_10s55.m4s,55,bunny_987061bps,1454580
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s56.m4s,BigBuckBunny_10s56.m4s,56,bunny_987061bps,1456816
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s57.m4s,BigBuckBunny_10s57.m4s,57,bunny_987061bps,1462863
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s58.m4s,BigBuckBunny_10s58.m4s,58,bunny_987061bps,1267319
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s59.m4s,BigBuckBunny_10s59.m4s,59,bunny_987061bps,671293
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s0.m4s,BigBuckBunny_10s0.m4s,0,bunny_88482bps,20
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s1.m4s,BigBuckBunny_10s1.m4s,1,bunny_88482bps,111685
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s2.m4s,BigBuckBunny_10s2.m4s,2,bunny_88482bps,117414
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s3.m4s,BigBuckBunny_10s3.m4s,3,bunny_88482bps,108616
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s4.m4s,BigBuckBunny_10s4.m4s,4,bunny_88482bps,121540
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s5.m4s,BigBuckBunny_10s5.m4s,5,bunny_88482bps,114184
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s6.m4s,BigBuckBunny_10s6.m4s,6,bunny_88482bps,108799
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s7.m4s,BigBuckBunny_10s7.m4s,7,bunny_88482bps,112317
